Abbreviation,Spoken Form
85th,eighty fifth
86th,eighty sixth
87th,eighty seventh
88th,eighty eighth
89th,eighty ninth
90th,ninetieth
91st,ninety first
92nd,ninety second
93rd,ninety third
94th,ninety fourth
95th,ninety fifth
96th,ninety sixth
97th,ninety seventh
98th,ninety eighth
99th,ninety ninth
100th,one hundredth
